"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1636.1449235875025,-1638.86,53.43330339506986,53.64046800000009,-1717.36,-1542.78,1.0201234185380237,193.46743308479088,259.8816933356693
"x0[1]",62.7614920044,62.7422,15.386421564877326,15.425415180000003,37.655185,88.278505,1.0055498352284273,1869.064922608599,1482.1223795007427
"x0[2]",64.8613261227656,64.89285,23.239109645708616,23.509143419999997,26.48979,102.78704999999994,1.0019664488428954,2735.6593677853925,42899.77233185666
"x0[3]",26.20374389930939,25.0849,13.971130898464303,14.38500063,4.383649500000001,50.3899,1.0033658827482952,997.1526698654607,572.4288355182147
"x0[4]",49.72787093636,49.551,13.500057700969963,14.100341429999997,28.43909,71.98030499999999,1.0027451479945404,1278.3123239388713,14724.186708663663
"x0[5]",22.364957932376218,21.3552,12.87598580629145,14.20449408,3.3171840000000006,44.5094,1.0050973487348978,832.3304367536808,17209.015584202778
"x0[6]",15.571184802361026,14.51285,10.10826448708225,10.038647534999999,1.7139055000000003,34.41260999999999,1.0026438758255187,8954.373528617907,15590.313338265098
"x0[7]",38.36180705704066,37.312650000000005,19.328172259756403,20.099089289999995,7.53,71.43490499999999,1.0041466622969666,1707.3680059930907,1410.2876498056705
"x0[8]",48.899242273272606,48.825649999999996,21.121524773419722,21.273308489999998,13.697975000000003,83.9378,1.0037945457863469,1799.8481194653518,13338.209970979797
"v",-0.23527984208907674,-0.2605285,0.6046091732031748,0.5800212894,-1.20844,0.7712073499999995,1.0060547894105827,2557.0677995994984,14925.741093527187
"w[1,1]",0.0516883568376999,-0.209673,10.736789660059012,10.693170957,-17.1993,17.99060499999999,1.002476535595422,2047.093120002327,14311.84155924729
"w[2,1]",0.48540686316852727,0.6381725,10.66926408413626,10.4718298965,-17.4417,17.910214999999976,1.0033797260283104,2498.731041008422,2336.7242492380374
"w[3,1]",1.6709695037326187,1.80092,3.5366770020351628,2.7517806936899993,-4.37821,7.2002624999999965,1.0040241072792822,1366.6852784033654,8134.8726280777955
"w[4,1]",-4.923964673335494,-5.44776,3.6528012487997206,2.797310376000001,-10.1555,1.5836204999999994,1.0071327748757646,704.41409112566555,8927.776782238505
"w[5,1]",9.37305792119755,10.2277,4.131069183321981,3.019018379999998,0.6138832000000003,14.7173,1.0141522949286501,259.6978788362948,114.56785056863056
"w[6,1]",-4.553354565950467,-4.67752,3.473292497276148,2.6617043669999996,-10.143609999999999,1.4716779999999887,1.0047526711345587,1884.391190017797,1588.8085165610069
"w[7,1]",-14.290892379548144,-15.1097,4.034304584902148,2.99900328,-19.5143,-5.799265000000007,1.0129421074623175,467.2355066427991,140.841113419596
"w[8,1]",5.614977428382977,6.312015000000001,4.073662061583654,2.8680526349999984,-2.699894499999998,11.0604,1.0145347859222609,316.2780481050364,79.64404500267541
"w[9,1]",3.170506161667695,3.361725,3.4450902042132623,2.5987235189999995,-2.8569634999999995,8.47267,1.001683567007803,4889.724914073204,25186.23493782593
"w[10,1]",-8.528930762145668,-9.14381,3.713944825441085,2.712135006,-13.492205,-1.4786980000000027,1.0028358866277147,6427.205539011951,40019.78578963272
"w[11,1]",10.298078243774935,10.9902,3.722317420508414,2.801053941,3.210777,15.213,1.0032219294122309,2040.0363957720015,25392.23695044722
"w[12,1]",-1.7680178016969028,-2.1322099999999997,3.5833394362688007,2.6976396258,-7.0251705,4.740671499999998,1.005636954005477,748.6719293858474,2305.137334012155
"w[13,1]",6.48902463484597,7.045655,3.5872675357427646,2.623749807,-0.13665459999999952,11.5512,1.003264447231646,3494.7545266656352,13935.922980184281
"w[14,1]",-8.747991679613712,-9.39813,3.863812719572652,3.067899701999999,-14.036,-1.68071,1.0061437589072222,852.1351175020985,5593.9437074097605
"w[15,1]",5.606554786337951,5.783015,3.566133350408843,2.7579695849999997,-0.627859,11.071504999999993,1.0065212445139218,773.6464322131973,3538.5890684690735
"w[16,1]",10.010935730230658,10.7261,3.850735107696101,3.0185736000000007,2.889357,15.120204999999993,1.005173120900149,909.0852787641609,29309.497144669564
"w[17,1]",-18.141639965252775,-19.07665,4.169420490381344,3.3754354199999996,-23.264104999999997,-10.1548,1.0049060495883666,1175.1892800456692,28439.29664634615
"w[18,1]",0.11324147795689335,0.762818,3.779745328554834,3.107440644,-6.786212999999999,5.251583499999995,1.0086084024137087,426.54499400035405,2873.1681035832535
"w[19,1]",-11.107910825098482,-11.5365,3.5753089494008012,2.7661535370000006,-16.2175,-4.464569000000001,1.0018889601588967,2698.63359212149,2962.566755600142
"w[20,1]",-3.0868155322848736,-3.17788,3.501696672719322,2.78573127,-8.7931605,2.5974009999999987,1.0065692457073192,730.0059051728637,5654.781932538898
"w[21,1]",4.7543892853651615,5.24045,3.64906934121806,2.7204672179999996,-2.153132,10.072104999999993,1.0084391221435764,582.3429704329764,654.6474965499312
"w[22,1]",-3.8203351088024933,-4.325415,3.7944578390969217,2.860180028999999,-9.2471415,3.93328,1.0146866183690106,444.89710121006175,101.03828827204401
"w[23,1]",7.210300713006057,7.65848,3.6531734743461826,2.7478879050000007,0.4576739500000001,12.4499,1.0037219490532805,3703.848260240034,2554.13072181958
