"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"w[11,1]",-17.96133929837699,-18.5113,7.410300928994392,7.969197389999998,-29.1204,-5.1324,1.015388460288677,263.03265249720084,1332.7873547894321
"w[12,1]",3.8523201113184506,4.197240000000001,5.450648393514386,5.174459324999998,-5.6860029999999995,12.1747,1.0071856449563985,705.861411653362,7676.116796761556
"w[13,1]",3.2384142183416578,3.0724549999999997,5.198937671018729,4.986325539299998,-5.048462499999999,12.061204999999992,1.0077954772535989,614.5885544142168,5612.847449228195
"w[14,1]",6.931809904703449,7.39629,5.557746095608031,5.4291551789999994,-2.836663,15.157304999999994,1.0249794373493801,133.38436164846144,1910.3646278362876
"w[15,1]",-2.803657243610576,-2.931895,5.288239961117485,4.901898140999999,-11.1458,6.331872499999997,1.0261626381619202,155.9471674593853,3396.3955147730167
"w[16,1]",-6.054863134217331,-6.523215,5.469959808350145,5.279946315,-14.099205,3.656600999999999,1.007694540621299,591.2926035542677,7764.468429534569
"w[17,1]",5.772211018892946,5.793965,5.195956406800831,4.687892243999999,-3.1235465,14.174104999999992,1.0160550738489578,3154.810018141256,8110.075111250819
"w[18,1]",7.024474571958904,7.1534200000000006,5.199320843382908,4.8501183359999995,-1.9331039999999997,15.203304999999993,1.0083359374152243,517.989409218672,7158.7565849064695
"w[19,1]",5.861615719455897,6.093585,5.343993274368272,5.569468442999999,-3.038041,14.1749,1.0195571098954377,171.8129333079616,7917.14948713065
"w[20,1]",-3.1905323524502753,-3.79015,5.491180980449384,5.1226335594,-11.5319,6.576673999999994,1.010883927748841,885.1307243150262,3370.354898854997
"w[21,1]",6.321286381033297,6.75571,5.549855004700503,5.375722274999999,-3.3988449999999997,14.683604999999993,1.0097213512684298,1330.548558304931,8463.202163841961
"w[22,1]",-5.684714380114534,-5.848485,5.395348833308373,5.238485406,-14.069405,3.487020999999998,1.009371645785472,377.5857888178339,8283.143189321243
"w[23,1]",-4.37229771685287,-4.5842,5.279571536285257,5.066162807999999,-12.926015,4.203506499999991,1.0149628841669056,264.4414836372724,8729.633320809546
"w[24,1]",0.2745636778099597,0.3883,5.309154715838842,5.241376476,-8.3736605,8.940140499999998,1.0100263198355823,396.7598740427507,3305.9347040131024
"w[25,1]",-2.4791567316763246,-2.827675,5.86229644650433,6.1469559689999995,-11.258605,7.4491305,1.0467331964339135,73.16147346956801,398.7181658183538
"w[26,1]",5.996920806779445,6.13332,5.175354711471903,4.929007482,-2.59892,14.4288,1.0090780396208738,368.5873760095194,9205.114434549207
"w[27,1]",13.33400150044041,13.5697,5.718401945526665,5.635310708999998,3.4110265,22.083804999999995,1.0083398454810193,516.9352162370353,7917.159462971406
"w[28,1]",0.7638419596471826,0.863028,5.113490692979078,4.566800889,-7.761333,9.294656999999992,1.0164797867523525,1846.8563424652548,10085.03554373781
"w[29,1]",-6.50026190322948,-6.486495,5.551070754665429,5.3143871129999996,-15.378,2.848470999999985,1.020426387069483,220.0478884097156,647.3191437188409
"w[30,1]",-4.7594662817433795,-4.763885,5.215750617654184,5.085132674999999,-13.297705,3.921181499999998,1.0071371758264778,551.5081739184188,7982.895093501274
"w[31,1]",-0.0370690629401058,-0.17333300000000001,5.08347144972784,4.515594850199999,-8.496611000000001,8.445661499999984,1.0118156887502285,1493.7800246037082,8592.292857882383
