"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1391.68948875,-1394.1950000000002,29.38873418145496,25.641566999999938,-1435.211,-1327.48,1.042412582690948,93.61929507282723,38.02603302956016
"x0[1]",6.66201785134475,5.561095,5.209634678897306,5.015272563,0.4100529500000001,16.709104999999997,1.0169071405668688,2064.8713446579045,1911.3126396313928
"x0[2]",8.55588254318575,6.90466,7.204396684481546,6.8850906179999996,0.6930724000000001,22.58979,1.013783532363078,447.30217053105196,2846.0020972440325
"x0[3]",6.908183482636249,5.757680000000001,5.23055274977807,5.378101848,0.53032645,16.676289999999998,1.009666268347296,741.1107648894395,1857.9579277248822
"x0[4]",4.582303741032501,3.8406000000000002,3.6215752168465496,3.6579003719999994,0.39134450000000004,11.674244999999992,1.012296486945848,504.99568861659816,2763.182715898484
"x0[5]",5.1135124673725,4.090565,4.233896479734617,4.048735970999999,0.160839,13.436530000000001,1.032027435041923,114.21197985572613,40.082372528618
"x0[6]",4.4945253167375006,3.814945,3.519992834993294,3.401588484,0.2460537,11.164854999999964,1.014644845611498,418.5790823139187,113.86973436417138
"x0[7]",11.471850569245,9.833325,8.557738852411354,8.915800424999999,0.9985390000000001,27.375839999999993,1.025967890114747,183.1104128482786,1656.3747002180285
"x0[8]",6.989258755987501,5.6503049999999995,5.94682330681482,5.60252301,0.3393736,18.632459999999988,1.0225696550149943,212.09719323851874,505.4812798671532
"v",0.92597913935125,0.931038,0.312343453536883,0.32369902319999994,0.39724695000000004,1.4254474999999995,1.0062196190724229,1354.7814514900604,2572.5001872131375
"w[1,1]",-3.327361123922375,-3.5568,4.665557982377549,4.5396722742,-10.96768,4.548081999999997,1.0218210504341914,3523.6391526103444,1752.6603489559739
"w[2,1]",-3.343482026633875,-3.26203,4.831402237546847,4.4978251478999995,-11.524114999999998,4.541091499999991,1.0124349833009871,4354.084637259699,4034.8442274910303
"w[3,1]",-1.4630975380862492,-1.444945,4.435121170963542,4.587075444,-9.201764,5.486759999999996,1.0207409851522165,278.555932799121,192.76780419610733
"w[4,1]",-0.5288267640240005,-0.445849,4.396114887138207,4.637342996999999,-7.4776300000000004,6.526390499999995,1.0220516763703198,230.30280140372116,3482.9975291667615
"w[5,1]",0.7933009611645,0.9158345,4.05544863974343,3.8921874956999996,-5.912021,7.531571499999988,1.0102782645183697,3949.2330114550673,4727.432421404369
"w[6,1]",2.035541942722,2.23692,4.413871603888872,4.6236467382,-5.0745,8.926774499999997,1.016283677136418,287.2013232050634,2670.9629910860053
"w[7,1]",0.7909851481962499,0.77487,4.26042423192132,4.345856424,-6.196726,7.5125645,1.0086949502763594,629.9164502628254,4316.723898754406
"w[8,1]",-1.303768289243575,-1.373165,4.17212888344608,3.917585175,-8.3374755,5.678287499999996,1.020087264687831,4874.454732575542,4738.118749338182
"w[9,1]",2.4607843985473745,2.5465299999999997,4.291600823390456,4.179479052,-4.6800665,9.719636499999993,1.0071671772267905,750.8148190684794,257.3128992122391
"w[10,1]",-1.0970344288937501,-1.164715,4.243365536074038,4.427043599999999,-8.000611,5.638278999999986,1.0172523756055754,395.7675289454661,2265.725777905659
"w[11,1]",4.96765888553125,5.167355000000001,4.591866229109551,4.756165973999999,-2.4086125000000003,12.425174999999998,1.0113093820581747,496.7093992153618,1915.101983739918
"w[12,1]",-2.1957713754912507,-2.112045,4.418690082367648,4.4729070897,-9.008686,5.063005499999999,1.0112104717649897,410.5179416377719,2333.5637700838006
"w[13,1]",-4.562801643665001,-4.599345,4.2870510938926385,4.3973619479999995,-11.575500000000002,2.474902499999996,1.0038540168943757,1098.2247689582157,2323.622341008931
"w[14,1]",-1.4125035749794999,-1.238735,4.065480059824062,3.973056654,-8.0722095,5.243123999999995,1.019986948134467,2810.6364003224703,4740.848412610284
"w[15,1]",-1.0031417548292503,-0.7786420000000001,4.187327614390718,3.94386426,-7.981503999999999,5.806196499999999,1.0060165807994215,2914.5702341249653,1714.4692128281526
"w[16,1]",0.13207437288499962,-0.06913045000000001,4.323653390760875,4.55650356483,-6.532439,7.246078499999989,1.0085147208982124,949.6765446953527,5076.6568651475545
"w[17,1]",4.03441108776875,4.080615,4.364753383324588,4.6276297431,-3.0932404999999994,10.895284999999998,1.0081367309931109,552.751075480005,3803.2063267812996
"w[18,1]",-1.0498552714676241,-1.07282,4.363195190170602,4.612828206,-8.309651999999998,5.776451499999996,1.006680535297156,610.9691456108168,3659.219648059979
"w[19,1]",1.9944163860853754,1.904485,4.256216925804777,4.2972249201,-4.5156624999999995,8.962476499999998,1.0138526048153989,407.03669070343267,2417.76197750798
"w[20,1]",3.284772397368375,3.23272,4.221198060202389,3.939127353,-3.8187065,10.199899999999985,1.006127950074112,4008.6014286674,3928.1241269243815
"w[21,1]",-3.4135066880655005,-3.225415,4.426330304596274,4.3786189188,-10.832294999999998,3.8265424999999964,1.0040329311149518,1689.5029931599208,2121.539455728821
"w[22,1]",4.0330179011275,4.185255,4.2034198743224875,4.131079575,-2.9541549999999996,10.910710000000002,1.00636109044448,1523.5505307761973,4169.244547265383
"w[23,1]",0.9167933710818754,0.9406315000000001,4.3564264468809375,4.3958104071,-5.9948559999999995,7.952918999999999,1.0106893867429494,411.8871800309202,3402.403295415976
"w[24,1]",1.536459447961375,1.48999,4.179680054554085,4.035659439,-5.3695755,8.469436,1.0049816813586383,2711.6122783101628,2358.908971257775
"w[25,1]",-4.95288957889875,-4.76752,4.342629309899543,4.209783396,-12.0204,2.321146999999999,1.005563798200777,1704.619684748722,2619.8659876455986
"w[26,1]",0.2084054494394996,0.329517,4.336613765690092,4.5211887,-7.071683,6.883065499999998,1.0065605421011805,618.0293388400254,2945.693965311717
"w[27,1]",-5.61718428888125,-5.733125,4.4505080888883395,4.672821614999999,-12.465324999999998,1.7015924999999992,1.0081200933140093,622.3582967762208,1761.6072168455164
"w[28,1]",-0.63175502495375,-0.694121,4.191881468247568,4.0247415726,-7.52982,6.259078999999997,1.0061656381078912,2827.659523727886,2114.0999357163746
"w[29,1]",-2.3815268583846256,-2.34152,4.222690393483504,4.037468952299999,-9.33033,4.853602499999997,1.0054773095189797,796.1427924576769,311.61585114185544
"w[30,1]",-0.01123052614382473,0.0593717,4.369915909588992,4.6243776599999995,-6.8245005,7.233489499999998,1.0224152083099718,176.88005774451938,1382.2359268447944
"w[31,1]",-0.06135662766012517,-0.07160165,4.111849309994563,4.2563765472899995,-6.4796225,6.7512585,1.0131582929108742,384.6733456482488,2600.494737261294
"w[32,1]",0.20155698687000007,0.28268950000000004,4.062910765399951,4.0969049037,-6.5520724999999995,6.736196499999995,1.003612813961225,2242.653733896924,3840.7515538167636
"w[33,1]",-0.64290854296000155,-0.8848290000000001,4.860844174291609,4.3957325706,-7.9069945,8.380811999999983,1.0319777847335494,145.95032363588481,26.152405490866375
"w[34,1]",-4.55429133042375,-4.67578,4.376327293781297,4.292979495,-11.264645,2.8070809999999877,1.0120224940376372,410.36821792394,1734.5596617437125
"w[35,1]",-2.4832943639294998,-2.64672,4.239058965468316,4.2998557938,-8.9183785,4.5675684999999975,1.0099603834481357,430.6891005833676,4054.7726261218845
"w[36,1]",1.7966779007162836,1.802985,4.100523988801914,4.0703018706,-5.0887115,8.225864499999998,1.006037899903138,1532.5145767535707,4242.566395164705
"w[37,1]",7.28652212837625,7.230755,4.1943769465990925,3.947474391,0.28481795000000176,14.269154999999998,1.0071324002774642,3373.468070810083,4086.3429200049545
"w[38,1]",3.99379518544125,4.0975850000000005,4.318014923879707,4.377799040999999,-3.2886854999999997,10.753379999999995,1.0085139638637763,622.2919754995887,3965.2529509549813
"w[39,1]",9.399681850532374,9.417155000000001,4.403348148533052,4.462396196999998,2.092345000000001,16.454704999999997,1.0076279605713654,1193.036939942115,3705.6650147269283
"w[40,1]",0.48690048962250027,0.4484245,4.568165377198751,4.5284171163,-7.229004499999999,8.020515999999995,1.009905272784317,592.8175591070487,185.99979010017364
"w[41,1]",10.27059915807725,10.14255,4.379750189043732,4.468074555,3.070786,17.463939999999994,1.0078740197965679,2073.3617074613585,4536.884295165356
"w[42,1]",4.097807219895875,4.005155,4.165542738104159,3.9859182090000003,-2.796362,10.91966,1.0126255379102858,3070.8091671069265,4442.578560017467
"w[43,1]",-0.38420188788500004,-0.4437605,4.462707709012414,4.4330785233,-7.5840879999999995,7.127626499999997,1.0025577129162495,2270.404251104946,3872.3935873461005
"w[1,2]",-2.3897724352700003,-2.42124,5.381302731158198,5.610959004,-11.0704,6.443187499999997,1.0048785093023858,1185.6460240147253,2397.087930479801
"w[2,2]",-2.3717164113466254,-2.16312,5.094511907135499,4.949259798,-10.766285,6.0183989999999845,1.0035127865509323,2625.5839112842978,4514.217001545457
"w[3,2]",-2.69966144479625,-2.72108,5.092603976582874,5.062316202299999,-10.91315,5.816044999999998,1.0043875067921952,1822.0618535659858,4555.573973195014
"w[4,2]",-2.00430698375075,-1.850185,5.312137744519881,5.5535972099999995,-11.007055,6.0690765,1.0121280938276611,445.80172422231055,5052.411302320386
"w[5,2]",-2.32877319753675,-2.050765,5.206274747822308,5.108357603999999,-11.116629999999999,6.0198524999999865,1.011081317215168,2800.723860181509,1932.1707403305836
"w[6,2]",-1.072987129293375,-1.210925,4.201178647045385,4.236996519000001,-7.849246,5.775513999999992,1.006201642444015,1960.5916825525724,4715.670651618739
"w[7,2]",-0.3122603469322501,-0.4110315,4.389421190056749,4.528549808999999,-6.889468,7.002544499999996,1.0097339338141578,465.09265493856884,2690.6352955492794
"w[8,2]",2.1634259777775,2.210375,4.140311830154386,4.444983801299999,-4.6464125,8.628668499999998,1.008352150667645,823.8576347851532,4017.413611508584
"w[9,2]",-0.7416923113708873,-0.975904,4.154142366485727,4.0726073136,-7.3768005,6.121285999999983,1.0097621972828417,1845.9981311518197,1947.4958741829796
"w[10,2]",2.95404480288,2.8542500000000004,4.0217018312075306,3.8928850589999993,-3.8002160000000003,9.639307999999998,1.0190249742247988,4867.686127842722,4713.559823076549
"w[11,2]",5.159077406429999,5.131295,4.253769326807623,4.279265445,-1.916249,12.24237,1.0074323296719088,593.2866303969427,447.63454636405726
"w[12,2]",4.7684567495387755,4.630395,4.035767360241373,3.9179558249999995,-1.8835760000000001,11.376449999999997,1.0034058072911332,2734.208430582972,4861.284815448295
"w[13,2]",0.9036378604150003,1.0568149999999998,3.952422201244962,3.789503361,-5.698009999999999,7.431428999999999,1.0052220095173865,2851.4509991834525,1950.2733687047378
"w[14,2]",-1.0074884421721246,-0.9570810000000001,4.081361373703476,3.8679047316000004,-7.6726175,5.724742499999991,1.0021846865051962,3184.0381245977946,3848.794369393528
"w[15,2]",2.115242976334375,2.1934199999999997,4.0662453781714705,3.8961334356000004,-4.706373999999999,8.558326999999998,1.0042489009330016,3091.0673334443677,3133.9506516352176
"w[16,2]",0.22135500188725035,0.26965550000000005,4.169250305848428,4.340474586,-5.9833435,7.124640999999996,1.0152216188223435,324.0113327315617,3754.1767252687628
"w[17,2]",3.4224834526822496,3.496905,4.283882809722943,4.383810983999999,-3.8260284999999996,10.027369999999998,1.008047644868819,677.0008031739769,4236.70856975386
"w[18,2]",-2.614442638577625,-2.9920999999999998,4.264252325480033,4.0814480574,-9.323554,5.140127499999994,1.0231304959311434,812.9472666395844,385.17350504002945
